TAHUN,KUMPULAN KOMODITI,KOMODITI,NEGERI,DAERAH,LUAS_BERTANAM_HA,LUAS_BERHASIL_HA,PENGELUARAN_MT
2011,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,MANJUNG,0.06,0.06,1.00
2011,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,KUALA LANGAT,0.10,0.09,1.15
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,JELI,0.40,0.20,2.79
2011,BUAH-BUAHAN,TEMBIKAI WANGI,JOHOR,BATU PAHAT,2.00,2.00,1.00
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,HULU LANGAT,0.40,0.60,5.85
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA LANGAT,0.60,0.60,6.00
2011,BUAH-BUAHAN,TEMBIKAI SUSU,WP LABUAN,WP LABUAN,0.40,0.40,7.00
2011,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,GOMBAK,0.30,0.30,8.40
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,GOMBAK,0.40,0.40,11.99
2011,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,KUALA TERENGGANU,0.50,0.50,11.79
2011,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,KERIAN,0.60,0.60,14.00
2011,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,DUNGUN,0.58,0.58,15.75
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA SELANGOR,1.00,1.00,15.75
2011,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,BATU PAHAT,1.18,1.12,16.64
2011,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,KLANG,0.50,0.50,18.00
2011,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,MARANG,2.70,2.70,15.58
2011,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,MUAR,1.10,0.77,21.85
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,KOTA BHARU,2.10,2.10,25.20
2011,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,SABAK BERNAM,3.40,3.40,31.20
2011,BUAH-BUAHAN,TEMBIKAI SUSU,PERLIS,PERLIS,2.18,2.18,41.00
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,PETALING,2.80,1.60,42.28
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,HULU SELANGOR,6.00,6.00,50.08
2011,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,BESUT,3.36,3.34,66.69
2011,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,MARANG,7.10,7.10,59.47
2011,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,KINTA,3.80,3.80,66.50
2011,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KLANG,5.70,5.30,73.70
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,TANAH MERAH,6.50,6.50,84.06
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,PASIR MAS,12.00,12.00,75.41
2011,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,HULU TERENGGANU,7.44,7.44,98.17
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,MACHANG,9.40,8.40,112.50
2011,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,TUMPAT,12.50,12.50,219.00
2011,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,MELAKA TENGAH,15.00,15.00,270.00
